Transaction ID,Customer ID,Timestamp,Transaction Amount,Transaction Type,Merchant Category,Location,Account Balance,Transaction Frequency,Transaction Partner,Country Code,Transaction Chain,Transaction Volume
TID0001,CID002,2024-10-11 13:56:47.464734,72444.29,deposit,luxury goods,GB,35129.16,1,Account6046,GB,2,72444.29
TID0002,CID010,2024-03-29 13:56:47.464769,91842.59,purchase,travel,IN,460931.55,6,Account3888,IN,4,551055.54
TID0003,CID002,2023-09-15 13:56:47.464784,54374.49,transfer,travel,IN,47841.42,3,Account7972,IN,1,163123.47
TID0004,CID003,2024-08-03 13:56:47.464805,64458.98,purchase,travel,CA,231600.46,10,Account4274,CA,1,644589.8
TID0005,CID002,2023-01-01 13:56:47.464826,92828.16,transfer,luxury goods,AU,263467.84,3,Account1318,AU,3,278484.48
TID0006,CID014,2023-04-06 13:56:47.464848,24218.69,withdrawal,investment,US,398381.19,3,Account3637,US,2,72656.07
TID0007,CID014,2023-03-29 13:56:47.464868,18872.66,withdrawal,investment,US,380480.31,4,Account6549,US,4,75490.64
TID0008,CID013,2023-01-19 13:56:47.464881,19545.16,transfer,real estate,AU,168345.16,7,Account6302,AU,3,136816.12
TID0009,CID013,2023-09-08 13:56:47.464896,11328.77,withdrawal,luxury goods,IN,211834.4,7,Account1838,IN,5,79301.39
TID0010,CID001,2024-07-07 13:56:47.464908,3699.68,withdrawal,travel,US,468344.68,4,Account5055,US,3,14798.72
TID0011,CID014,2023-06-09 13:56:47.464918,52403.5,deposit,luxury goods,US,197342.22,6,Account3489,US,2,314421
TID0012,CID009,2024-02-08 13:56:47.464930,92798.71,purchase,investment,AU,113394.23,8,Account5492,AU,4,742389.68
TID0013,CID002,2023-01-21 13:56:47.464941,48242.91,transfer,travel,AU,216039.12,5,Account1239,AU,4,241214.55
TID0014,CID004,2023-07-13 13:56:47.464952,32415.63,withdrawal,travel,AU,436506.11,2,Account5026,AU,1,64831.26
TID0015,CID003,2024-08-19 13:56:47.464962,97385.53,purchase,luxury goods,IN,239811.94,10,Account2173,IN,5,973855.3
TID0016,CID001,2023-09-23 13:56:47.464984,42363.53,transfer,investment,IN,290318.15,2,Account2044,IN,3,84727.06
TID0017,CID013,2023-08-28 13:56:47.465006,77008.47,transfer,real estate,AU,316622.55,3,Account1966,AU,2,231025.41
TID0018,CID010,2023-11-08 13:56:47.465021,28004.81,withdrawal,investment,CA,139538.78,3,Account9339,CA,3,84014.43
TID0019,CID011,2023-08-05 13:56:47.465032,96593.08,deposit,consulting,US,165084.17,10,Account2736,US,5,965930.8
TID0020,CID011,2024-07-26 13:56:47.465041,43500.78,purchase,luxury goods,IN,121288.15,5,Account1160,IN,1,217503.9
TID0021,CID005,2024-11-16 13:56:47.465052,71285.74,withdrawal,travel,AU,77965.43,6,Account2533,AU,3,427714.44
TID0022,CID003,2022-12-11 13:56:47.465061,16681.08,deposit,luxury goods,GB,21130.96,10,Account2413,GB,5,166810.8
TID0023,CID005,2024-08-08 13:56:47.465071,56788.3,transfer,consulting,AU,219577.75,3,Account7637,AU,4,170364.9
TID0024,CID008,2024-05-26 13:56:47.465081,69526.61,transfer,luxury goods,US,470952.31,5,Account7460,US,5,347633.05
TID0025,CID009,2023-05-22 13:56:47.465092,16162.09,withdrawal,travel,US,23528.21,5,Account8553,US,1,80810.45
TID0026,CID003,2024-09-29 13:56:47.465101,44348,deposit,luxury goods,IN,248278.24,10,Account5628,IN,2,443480
TID0027,CID015,2022-12-26 13:56:47.465112,68136.17,deposit,luxury goods,US,262099.48,9,Account1898,US,4,613225.53
TID0028,CID006,2024-03-05 13:56:47.465121,61683.84,purchase,real estate,AU,54056.14,10,Account5415,AU,5,616838.4
TID0029,CID002,2024-01-30 13:56:47.465132,75526.45,transfer,investment,IN,83035.63,4,Account2965,IN,3,302105.8
TID0030,CID011,2023-07-06 13:56:47.465144,95279.18,deposit,real estate,IN,231000.8,8,Account2218,IN,2,762233.44
TID0031,CID014,2024-02-20 13:56:47.465153,10684.25,purchase,investment,GB,179617.74,1,Account6936,GB,1,10684.25
TID0032,CID006,2024-04-19 13:56:47.465168,146.64,purchase,investment,GB,170852.98,2,Account7694,GB,2,293.28
TID0033,CID014,2023-03-07 13:56:47.465187,94778.09,transfer,luxury goods,IN,466753.34,6,Account9684,IN,5,568668.54
TID0034,CID009,2023-07-07 13:56:47.465207,63317.48,withdrawal,real estate,AU,498000.65,8,Account1587,AU,5,506539.84
TID0035,CID014,2023-07-16 13:56:47.465220,25793.34,deposit,luxury goods,IN,387763.23,6,Account9819,IN,5,154760.04
TID0036,CID010,2024-04-13 13:56:47.465229,13856.91,withdrawal,consulting,IN,110172.35,5,Account8798,IN,1,69284.55
TID0037,CID011,2023-08-12 13:56:47.465239,70789.23,deposit,luxury goods,GB,430068.8,6,Account1615,GB,5,424735.38
TID0038,CID014,2024-09-26 13:56:47.465248,10646.93,transfer,consulting,IN,469427.56,1,Account7890,IN,3,10646.93
TID0039,CID015,2023-10-10 13:56:47.465258,39924.74,purchase,investment,GB,172994.34,9,Account2566,GB,1,359322.66
TID0040,CID011,2023-11-18 13:56:47.465267,29520.39,transfer,investment,AU,196927.57,1,Account7937,AU,1,29520.39
TID0041,CID004,2023-06-06 13:56:47.465277,89940.79,deposit,investment,GB,91446.46,5,Account2099,GB,3,449703.95
TID0042,CID014,2024-05-12 13:56:47.465291,72944.24,deposit,travel,GB,429704.56,2,Account2646,GB,4,145888.48
TID0043,CID003,2023-04-16 13:56:47.465301,61770.61,withdrawal,luxury goods,AU,330415.37,6,Account7764,AU,2,370623.66
TID0044,CID007,2024-06-05 13:56:47.465315,15108.4,withdrawal,luxury goods,IN,431505.26,9,Account3141,IN,2,135975.6
TID0045,CID012,2024-11-18 13:56:47.465334,38048.33,purchase,investment,US,22622.54,6,Account5971,US,4,228289.98
TID0046,CID015,2023-03-22 13:56:47.465344,3362.62,purchase,travel,CA,440198.86,10,Account2964,CA,3,33626.2
TID0047,CID001,2023-04-08 13:56:47.465354,8512.14,purchase,real estate,CA,247544.47,8,Account2465,CA,4,68097.12
TID0048,CID015,2023-08-07 13:56:47.465364,5845.09,withdrawal,luxury goods,CA,282756.19,7,Account1207,CA,3,40915.63
TID0049,CID015,2024-05-25 13:56:47.465373,79700.69,deposit,investment,AU,476576.44,1,Account4436,AU,3,79700.69
TID0050,CID005,2022-12-01 13:56:47.465388,44584.74,withdrawal,travel,GB,210571.93,1,Account6616,GB,5,44584.74
